Title,Cast
Ex Machina,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno"
The Maze Runner,"Dylan O'Brien, Kaya Scodelario, Will Poulter, Thomas Brodie-Sangster"
You Should Have Left,"Kevin Bacon, Amanda Seyfried, Avery Tiiu Essex, Colin Blumenau"
Shrek,"Vicky Jenson, Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
Cash Out,"John Travolta, Kristin Davis, Lukas Haas, Quavo"
The Killing of a Sacred Deer,"Barry G. Bernson, Herb Caillouet, Bill Camp, Raffey Cassidy"
Nope,"Daniel Kaluuya, Keke Palmer, Brandon Perea, Michael Wincott"
The Hateful Eight,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins"
The Devil Wears Prada,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt"
The Princess Bride,"Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon"
Django Unchained,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
Hacksaw Ridge,"Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer"
The Creator,"John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney"
Pride & Prejudice,"Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland"
Babylon,"Brad Pitt, Margot Robbie, Jean Smart, Olivia Wilde"
Farming,"Leke Adebayo, Ademola Adedoyin, Adejola Adeyemi, Adewale Akinnuoye-Agbaje"
Pretty in Pink,"Molly Ringwald, Jon Cryer, Harry Dean Stanton, Annie Potts"
X-Men Origins: Wolverine,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston"
John Wick,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe"
Kill Bill: Vol. 1,"Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
28 Days Later...,"Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer"
Pirates of the Caribbean: The Curse of the Black Pearl,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley"
Mandy,"Nicolas Cage, Andrea Riseborough, Linus Roache, Ned Dennehy"
A Quiet Place,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe"
Five Nights at Freddy's,"Josh Hutcherson, Piper Rubio, Elizabeth Lail, Matthew Lillard"
Back to the Future,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
Expend4bles,"Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren"
Star Trek,"Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy"
The Dark Knight Rises,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman"
Anna,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy"
The Prestige,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
Get Out,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
Ferrari,"Adam Driver, Shailene Woodley, Giuseppe Festinese, Alessandro Cremona"
X-Men,"Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen"
Call Me by Your Name,"Timothée Chalamet, Armie Hammer, Michael Stuhlbarg, Amira Casar"
Little Women,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen"
Reptile,"Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone"
Hereditary,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff"
The American Society of Magical Negroes,"Justice Smith, Zachary Barton, Anthony Coons, Robbie Troy"
It,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
The Dreamers,"Michael Pitt, Louis Garrel, Eva Green, Anna Chancellor"
Logan,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
The Super Mario Bros. Movie,"Michael Jelenic, Pierre Leduc, Fabien Polack, Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black"
12 Angry Men,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
"Crazy, Stupid, Love.","John Requa, Steve Carell, Ryan Gosling, Julianne Moore, Emma Stone"
Dazed and Confused,"Jason London, Wiley Wiggins, Matthew McConaughey, Rory Cochrane"
The Magnificent Seven,"Denzel Washington, Chris Pratt, Ethan Hawke, Vincent D'Onofrio"
L.A. Confidential,"Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger"
The Menu,"Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult, Hong Chau"
Rush,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara"
The Covenant,"Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong"
Drive,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks"
Avatar: The Way of Water,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang"
Amadeus,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice"
The Terminator,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
Beneath the Planet of the Apes,"James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison"
Boogie Nights,"Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán"
Dungeons & Dragons: Honor Among Thieves,"Jonathan Goldstein, Chris Pine, Michelle Rodriguez, Regé-Jean Page, Justice Smith"
The Blue Lagoon,"Brooke Shields, Christopher Atkins, Leo McKern, William Daniels"
Bridge to Terabithia,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick"
Prisoners,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo"
Sicario,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal"
American Psycho,"Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
The Gray Man,"Anthony Russo, Ryan Gosling, Chris Evans, Ana de Armas, Billy Bob Thornton"
Fall,"Grace Caroline Currey, Virginia Gardner, Mason Gooding, Jeffrey Dean Morgan"
From Dusk Till Dawn,"Harvey Keitel, George Clooney, Juliette Lewis, Quentin Tarantino"
Cinderella,"Camila Cabello, Billy Porter, Nicholas Galitzine, Idina Menzel"
The Godfather Part II,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
Prometheus,"Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron"
Free Guy,"Ryan Reynolds, Jodie Comer, Taika Waititi, Lil Rel Howery"
Eternal Sunshine of the Spotless Mind,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne"
The Dry,"Eric Bana, Genevieve O'Reilly, Keir O'Donnell, John Polson"
One Day,"Anne Hathaway, Jim Sturgess, Patricia Clarkson, Tom Mison"
Love & Other Drugs,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt"
"Girl, Interrupted","Winona Ryder, Angelina Jolie, Clea DuVall, Brittany Murphy"
Godzilla vs. Kong,"Alexander Skarsgård, Millie Bobby Brown, Rebecca Hall, Brian Tyree Henry"
