Title,Cast
The Texas Chain Saw Massacre,"Marilyn Burns, Edwin Neal, Allen Danziger, Paul A. Partain"
"Paris, Texas","Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Sam Berry"
Fresh,"Daisy Edgar-Jones, Sebastian Stan, Jojo T. Gibbs, Andrea Bang"
Smokey and the Bandit,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry"
Chinatown,"Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez"
Iron Man Three,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle"
Bully,"Brad Renfro, Nick Stahl, Bijou Phillips, Rachel Miner"
Before Sunrise,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl"
She Came to Me,"Peter Dinklage, Anne Hathaway, Marisa Tomei, Evan Ellison"
Wonder Woman 1984,"Gal Gadot, Chris Pine, Kristen Wiig, Pedro Pascal"
Sasquatch Sunset,"Nathan Zellner, Jesse Eisenberg, Riley Keough, Christophe Zajac-Denek, Nathan Zellner"
Brothers,"Jake Gyllenhaal, Natalie Portman, Tobey Maguire, Sam Shepard"
Sinister,"Ethan Hawke, Juliet Rylance, James Ransone, Fred Thompson"
Aquaman,"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson"
Battle for the Planet of the Apes,"Roddy McDowall, Claude Akins, Natalie Trundy, Severn Darden"
Misery,"James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen"
Some Kind of Wonderful,"Eric Stoltz, Mary Stuart Masterson, Lea Thompson, Craig Sheffer"
Moonlight,"Mahershala Ali, Naomie Harris, Trevante Rhodes, Alex R. Hibbert"
The Change-Up,"Jason Bateman, Ryan Reynolds, Olivia Wilde, Leslie Mann"
The Warriors,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler"
Ender's Game,"Harrison Ford, Asa Butterfield, Hailee Steinfeld, Abigail Breslin"
Guardians of the Galaxy Vol. 2,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel"
Wedding Crashers,"Owen Wilson, Vince Vaughn, Rachel McAdams, Christopher Walken"
Kingsman: The Golden Circle,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum"
The Graduate,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels"
The Butterfly Effect,"J. Mackye Gruber, Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson"
Dawn of the Dead,"Sarah Polley, Ving Rhames, Mekhi Phifer, Jake Weber"
Ant-Man and the Wasp: Quantumania,"Paul Rudd, Evangeline Lilly, Michael Douglas, Michelle Pfeiffer"
Zero Dark Thirty,"Jessica Chastain, Joel Edgerton, Chris Pratt, Mark Strong"
Murder on the Orient Express,"Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
Children of Men,"Julianne Moore, Clive Owen, Chiwetel Ejiofor, Michael Caine"
"Confess, Fletch","Jon Hamm, Caitlin Zerra Rose, Roy Wood Jr., Ayden Mayeri"
Event Horizon,"Laurence Fishburne, Sam Neill, Kathleen Quinlan, Joely Richardson"
Pan's Labyrinth,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú"
13 Going on 30,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis"
The Fast and the Furious: Tokyo Drift,"Lucas Black, Zachery Ty Bryan, Shad Moss, Damien Marzette"
Wonder Woman,"Gal Gadot, Chris Pine, Robin Wright, Lucy Davis"
Sicario: Day of the Soldado,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan"
Predators,"Adrien Brody, Laurence Fishburne, Topher Grace, Alice Braga"
Hercules,"John Musker, Tate Donovan, Susan Egan, James Woods, Barbara Barrie"
Bad Boys for Life,"Bilall Fallah, Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig"
MASH,"Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman"
Contact,"Jodie Foster, Matthew McConaughey, Tom Skerritt, John Hurt"
Relatos salvajes,"Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta"
RRR (Rise Roar Revolt),"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt"
Sense and Sensibility,"Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson"
The Count of Monte Cristo,"Jim Caviezel, Guy Pearce, Christopher Adamson, JB Blanc"
The NeverEnding Story,"Noah Hathaway, Barret Oliver, Tami Stronach, Gerald McRaney"
Four Weddings and a Funeral,"Hugh Grant, Andie MacDowell, James Fleet, Simon Callow"
Dogman,"Caleb Landry Jones, Jojo T. Gibbs, Christopher Denham, Clemens Schick"
Molly's Game,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera"
Empire Records,"Anthony LaPaglia, Debi Mazar, Maxwell Caulfield, Rory Cochrane"
The Karate Kid,"Jackie Chan, Jaden Smith, Taraji P. Henson, Wenwen Han"
Minority Report,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow"
It Follows,"Maika Monroe, Keir Gilchrist, Olivia Luccardi, Lili Sepe"
Beauty and the Beast,"Kirk Wise, Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart"
Rush Hour,"Jackie Chan, Chris Tucker, Ken Leung, Tom Wilkinson"
Easy A,"Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd"
The Man from U.N.C.L.E.,"Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki"
Pixels,"Adam Sandler, Kevin James, Michelle Monaghan, Peter Dinklage"
Don't Breathe,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto"
M3GAN,"Allison Williams, Violet McGraw, Ronny Chieng, Amie Donald"
John Wick: Chapter 3 - Parabellum,"Keanu Reeves, Halle Berry, Ian McShane, Laurence Fishburne"
The Perfect Storm,"George Clooney, Mark Wahlberg, John C. Reilly, Diane Lane"
The Miracle Club,"Maggie Smith, Laura Linney, Kathy Bates, Agnes O'Casey"
Slumdog Millionaire,"Loveleen Tandan, Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor"
Constantine,"Keanu Reeves, Rachel Weisz, Djimon Hounsou, Shia LaBeouf"
Robin Hood: Prince of Thieves,"Kevin Costner, Morgan Freeman, Mary Elizabeth Mastrantonio, Christian Slater"
Signs,"Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin"
Colossal,"Anne Hathaway, Jason Sudeikis, Austin Stowell, Tim Blake Nelson"
The Girl with the Dragon Tattoo,"Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård"
Big Trouble in Little China,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong"
RED,"Bruce Willis, Helen Mirren, Morgan Freeman, Mary-Louise Parker"
The Amazing Spider-Man 2,"Andrew Garfield, Emma Stone, Jamie Foxx, Paul Giamatti"
Poltergeist,"JoBeth Williams, Heather O'Rourke, Craig T. Nelson, Beatrice Straight"
Maze Runner: The Scorch Trials,"Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Giancarlo Esposito"
"O Brother, Where Art Thou?","Ethan Coen, George Clooney, John Turturro, Tim Blake Nelson, John Goodman"
A.I. Artificial Intelligence,"Haley Joel Osment, Jude Law, Frances O'Connor, Sam Robards"
Leo,"Robert Smigel, David Wachtenheim, Adam Sandler, Bill Burr, Cecily Strong, Jason Alexander"
Pirates of the Caribbean: On Stranger Tides,"Johnny Depp, Penélope Cruz, Ian McShane, Geoffrey Rush"
Hot Fuzz,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy"
Just One of the Guys,"Joyce Hyser, Clayton Rohner, Billy Jayne, Toni Hudson"
Public Enemies,"Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke"
Mulan,"Barry Cook, Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer"
The Twilight Saga: Breaking Dawn - Part 2,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli"
Antichrist,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm"
Ronin,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgård"
The Cell,"Jennifer Lopez, Vince Vaughn, Vincent D'Onofrio, Colton James"
Kung Fu Panda 3,"Jennifer Yuh Nelson, Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie"
Juno,"Elliot Page, Michael Cera, Jennifer Garner, Jason Bateman"
The Lovely Bones,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon"
District 9,"Sharlto Copley, David James, Jason Cope, Vanessa Haywood"
Stargate,"Kurt Russell, James Spader, Jaye Davidson, Viveca Lindfors"
The Sting,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning"
Old School,"Luke Wilson, Vince Vaughn, Will Ferrell, Jeremy Piven"
Legion,"Paul Bettany, Dennis Quaid, Charles S. Dutton, Lucas Black"
Der Name der Rose,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin"
To Kill a Mockingbird,"Gregory Peck, John Megna, Frank Overton, Rosemary Murphy"
Pirates of the Caribbean: At World's End,"Johnny Depp, Orlando Bloom, Keira Knightley, Geoffrey Rush"
Palmer,"Justin Timberlake, Juno Temple, Alisha Wainwright, Ryder Allen"
Talladega Nights: The Ballad of Ricky Bobby,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole"
Hypnotic,"Ben Affleck, Alice Braga, JD Pardo, Dayo Okeniyi"
Spy,"Melissa McCarthy, Rose Byrne, Jude Law, Jason Statham"
How to Lose a Guy in 10 Days,"Kate Hudson, Matthew McConaughey, Adam Goldberg, Kathryn Hahn"
Room,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson"
Captain Fantastic,"Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso"
Alien³,"Sigourney Weaver, Charles S. Dutton, Charles Dance, Paul McGann"
The Pursuit of Happyness,"Will Smith, Thandiwe Newton, Jaden Smith, Brian Howe"
A Bridge Too Far,"Sean Connery, Ryan O'Neal, Michael Caine, Laurence Olivier"
Cast Away,"Tom Hanks, Helen Hunt, Paul Sanchez, Lari White"
The Lives of Others,"Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur"
Batman v Superman: Dawn of Justice,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg"
Dances with Wolves,"Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant"
The Girl Next Door,"William Atherton, Blythe Auffarth, Blanche Baker, Kevin Chamberlin"
Space Cowboys,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner"
Ghostbusters II,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis"
Mononoke-hime,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup"
Superman,"Christopher Reeve, Margot Kidder, Gene Hackman, Marlon Brando"
Vacation,"Jonathan Goldstein, Ed Helms, Christina Applegate, Skyler Gisondo, Steele Stebbins"
A Bug's Life,"Andrew Stanton, Kevin Spacey, David Foley, Julia Louis-Dreyfus, Hayden Panettiere"
Brooklyn,"Saoirse Ronan, Emory Cohen, Domhnall Gleeson, Jim Broadbent"
Extraction 2,"Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani"
Who Framed Roger Rabbit,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer"
Shame,"Michael Fassbender, Carey Mulligan, James Badge Dale, Lucy Walters"
I Am Legend,"Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield"
Life,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada"
Maleficent,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville"
Spotlight,"Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
The 355,"Jessica Chastain, Penélope Cruz, Bingbing Fan, Diane Kruger"
Shaun of the Dead,"Simon Pegg, Nick Frost, Kate Ashfield, Lucy Davis"
Pandorum,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue"
Maestro,"Carey Mulligan, Bradley Cooper, Matt Bomer, Vincenzo Amato"
The Devil All the Time,"Bill Skarsgård, Tom Holland, Banks Repeta, Emilio Subercaseaux Campos"
The Florida Project,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera"
Enemy,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon, Isabella Rossellini"
CODA,"Emilia Jones, Marlee Matlin, Troy Kotsur, Daniel Durant"
The Da Vinci Code,"Tom Hanks, Audrey Tautou, Jean Reno, Ian McKellen"
The Others,"Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann"
Kindergarten Cop,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt"
The Flintstones,"John Goodman, Rick Moranis, Rosie O'Donnell, Halle Berry"
The Fugitive,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
I Can Only Imagine,"Jon Erwin, John Michael Finley, Madeline Carroll, Dennis Quaid, Trace Adkins"
The Curious Case of Benjamin Button,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond"
The Wedding Planner,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers"
Fantastic Mr. Fox,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman"
Sucker Punch,"Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone"
First Blood,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney"
Valkyrie,"Tom Cruise, Bill Nighy, Carice van Houten, Kenneth Branagh"
Rain Man,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen"
The Rocky Horror Picture Show,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien"
Thor,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston"
50 First Dates,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin"
Freud's Last Session,"Anthony Hopkins, Matthew Goode, Liv Lisa Fries, Jodi Balfour"
Deliverance,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox"
True Grit,"Joel Coen, Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin"
It Chapter Two,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa"
I Spit on Your Grave,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese"
The Nun II,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell"
Flight,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman"
Cocaine Bear,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr., Ray Liotta"
Thelma & Louise,"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen"
Jackie Brown,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda"
"To Wong Foo Thanks for Everything, Julie Newmar","Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing"
Lady Chatterley's Lover,"Emma Corrin, Jack O'Connell, Matthew Duckett, Joely Richardson"
The Blues Brothers,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy"
Mamma Mia! Here We Go Again,"Lily James, Amanda Seyfried, Meryl Streep, Cher"
Hotaru no haka,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
12 Monkeys,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito"
The Last Airbender,"Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone, Dev Patel"
The Big Chill,"Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt"
The Pale Blue Eye,"Christian Bale, Harry Melling, Simon McBurney, Timothy Spall"
Crank: High Voltage,"Brian Taylor, Jason Statham, Amy Smart, Clifton Collins Jr., Dwight Yoakam"
Babes,"Ilana Glazer, Michelle Buteau, Hasan Minhaj, John Carroll Lynch"
The Ring,"Naomi Watts, Martin Henderson, Brian Cox, David Dorfman"
6 Underground,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
The Fabelmans,"Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch"
Coyote Ugly,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello"
Source Code,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright"
13 Hours: The Secret Soldiers of Benghazi,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman"
The Princess Diaries 2: Royal Engagement,"Anne Hathaway, Callum Blue, Julie Andrews, Hector Elizondo"
The Phantom of the Opera,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson"
The Beach,"Leonardo DiCaprio, Tilda Swinton, Daniel York, Patcharawan Patarakijjanon"
The Hobbit: The Desolation of Smaug,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott"
Looper,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano"
King Richard,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal, Saniyya Sidney"
Dredd,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood"
Aladdin,"John Musker, Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman"
Coraline,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders"
The School for Good and Evil,"Kit Young, Sophia Anne Caruso, Cate Blanchett, Liam Woon"
A Beautiful Day in the Neighborhood,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson"
Night at the Museum,"Ben Stiller, Carla Gugino, Ricky Gervais, Dick Van Dyke"
Face/Off,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
Palm Springs,"Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher"
Atomic Blonde,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
Mystic River,"Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum"
Close,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker"
Captive State,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga"
Sausage Party,"Greg Tiernan, Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
Lawrence of Arabia,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
GATTACA,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal"
The Hills Have Eyes,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin"
House of Gucci,"Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons"
Gods of Egypt,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
Star Trek Into Darkness,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch"
Mother!,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer"
The Hunger Games: Mockingjay - Part 2,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
Garfield: The Movie,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray"
The Rock,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer"
Shrek the Third,"Raman Hui, Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas"
Red Sparrow,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling"
Sherlock Holmes,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong"
Contagion,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow"
Death Race,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane"
Scent of a Woman,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar"
Crash,"James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger"
The Autopsy of Jane Doe,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton"
Snowpiercer,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
Friday the 13th,"Betsy Palmer, Adrienne King, Jeannine Taylor, Robbi Morgan"
Soul,"Kemp Powers, Jamie Foxx, Tina Fey, Graham Norton, Rachel House"
Girls Trip,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish"
Yesterday,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell"
Below Her Mouth,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen"
Edward Scissorhands,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall"
Indiana Jones and the Temple of Doom,"Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri"
Gone Baby Gone,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan"
Spy Kids,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino"
The Ballad of Buster Scruggs,"Joel Coen, Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy"
The House That Jack Built,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan"
Widows,"Viola Davis, Michelle Rodriguez, Elizabeth Debicki"
The Marsh King's Daughter,"Daisy Ridley, Ben Mendelsohn, Brooklynn Prince, Gil Birmingham"
Shichinin no samurai,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
Ultimo tango a Parigi,"Marlon Brando, Maria Schneider, Maria Michi, Giovanna Galletti"
The Meg,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis"
Billy Madison,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford"
Mortal Kombat,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa"
El hoyo,"Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale"
Malignant,"Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White"
Mary Poppins,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns"
Transformers: Revenge of the Fallen,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
The Bad Guys,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson"
The Road,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall"
The Giver,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift"
Rampage,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan"
Willow,"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh"
Pet Sematary,"Dale Midkiff, Denise Crosby, Fred Gwynne, Brad Greenquist"
Resident Evil,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce"
Henry V,"Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin"
The Nun,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons"
Jersey Boys,"John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza"
The Mummy,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe"
Black Panther: Wakanda Forever,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke"
In Bruges,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington"
Couples Retreat,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman"
12 Years a Slave,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt"
Teenage Mutant Ninja Turtles,"Judith Hoag, Elias Koteas, Josh Pais, David Forman"
Jerry & Marge Go Large,"Bryan Cranston, Annette Bening, Rainn Wilson, Larry Wilmore"
"Extremely Wicked, Shockingly Evil and Vile","Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer"
Alien Resurrection,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman"
The Addams Family,"Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya"
Law Abiding Citizen,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney"
La pianiste,"Isabelle Huppert, Annie Girardot, Benoît Magimel, Susanne Lothar"
After We Collided,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard"
Batman & Robin,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman"
Fifty Shades Freed,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford"
Bitter Moon,"Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner, Peter Coyote"
How to Be Single,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie"
