id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"nhận được hộp rất đẹp, chống sốc này kia các kiểu, nguyên seal luôn, máy rất êm",0,29786338,5,1708506758,Huy Ngô,1708329070
,Cực kì hài lòng,"Sản phẩm chính hãng nguyên seal, chưa kích hoạt bảo hành. Nơi mua hàng tin tưởng.",0,10270660,5,1706584793,Quốc Duyên,1704391455
,Cực kì hài lòng,bảo hành sao lại kích hoạt từ 23/09 vậy ạ?,0,21178448,5,1701565290,phạm hùng thắng,1701425716
,Hài lòng,"Tiki giao nhanh , sản phẩm ok nguyên tem .
có điều dòng này máy chậm và mau hết pin .",0,11500243,4,1697781276,Nguyễn Tấn Tài,1687946760
,Cực kì hài lòng,"Sau mấy ngày dùng thử thì tư hỏi tại sao lại bỏ ra hơn 30 triệu mua Iphone 14 promax?
Máy mượt, nhanh và không bị nóng mây tròn khi ip14max của mình mấy lần nóng máy tới mức phải tắt để cho nguội.
U50 rồi nên xét về tiện dụng và chi phí thì máy này quá đủ dùng.
Máy nhẹ, cầm lâu ko mỏi tay, ốp lưng chất và dán màn hình đẹp, sạc đầy đủ. Dịch vụ hơn iphone nhiều nhiều.
Điều chưa thể nói là ko biết độ bền và tính ổn định duy trì được lâu ko thôi.",0,20394486,5,1709221844,Anh Phạm,1709116882
,Cực kì hài lòng,"Được dán cường lực, tặng ốp lưng, máy đi kèm đầy đủ củ sạc và cáp sạc, đóng gói cẩn thận rất ưng. Mọi thứ đều ok",2,6142509,5,1694008465,Nguyễn Thảo Ly,1693933077
,Hài lòng,"Chất lượng tốt. Tuy nhiên lần này mình khá thất vọng với cách gói hàng của tiki gói hàng rất cẩu thả và sơ xài hàng điện tử mà không lớp nylon chống sốc gì hết. Gói hàng mình nhận được bên ngoài móp mép, hộp điện thoại bên trong thì thì cấn một lõm",5,9909532,4,1680090596,Mr Hoàng,1679693392
,Cực kì hài lòng,OK shop hàng nguyên seal chính hãng,0,8081864,5,1697557432,NGHĨA TRẦN ,1697268778
,Cực kì hài lòng,"Quá đẹp, quá hạnh phúc",0,11100627,5,1705463865,Võ Minh Kha,1705399081
,Cực kì hài lòng,Mọi thứ đều ổn với giá 4tr. Giao hàng nhanh,0,26582793,5,1696649009,Đạt Tạ,1693721054
,Cực kì hài lòng,"nhận được hộp rất đẹp, chống sốc này kia các kiểu, nguyên seal luôn, máy rất êm",0,29786338,5,1708506758,Huy Ngô,1708329070
,Cực kì hài lòng,"Sản phẩm chính hãng nguyên seal, chưa kích hoạt bảo hành. Nơi mua hàng tin tưởng.",0,10270660,5,1706584793,Quốc Duyên,1704391455
,Cực kì hài lòng,bảo hành sao lại kích hoạt từ 23/09 vậy ạ?,0,21178448,5,1701565290,phạm hùng thắng,1701425716
,Hài lòng,"Tiki giao nhanh , sản phẩm ok nguyên tem .
có điều dòng này máy chậm và mau hết pin .",0,11500243,4,1697781276,Nguyễn Tấn Tài,1687946760
,Cực kì hài lòng,,0,5429115,5,1647435146,Nguyen Hai Nam,1646065820
,Cực kì hài lòng,,0,5429115,5,1647435146,Nguyen Hai Nam,1646065820
,Cực kì hài lòng,,0,7111689,5,1712028934,Jupiter Evans,1711904830
,Cực kì hài lòng,,0,1900406,5,1711361624,Le quang vinh,1711118188
,Cực kì hài lòng,,0,7111689,5,1712028934,Jupiter Evans,1711904830
,Cực kì hài lòng,,0,1900406,5,1711361624,Le quang vinh,1711118188
,Cực kì hài lòng,Đã nhận được máy...đúng sê ri...mua về mới kích hoạt bảo hành...chất lượng hình ảnh tốt...thời lượng pin chấp nhận được...từ 6h đến 22h mới sạc,0,11200602,5,1711161649,Lương Ngọc Trúc,1710862794
,Cực kì hài lòng,"Sản phẩm chính hãng, giao hàng cực nhanh, mới sử dụng bước đầu cảm thấy hài lòng vì máy chạy mượt mà, ảnh chụp rất đẹp. Tặng shop 5 sao nhé.",0,8093338,5,1710053442,Đinh Xuân Long,1709815848
,Cực kì hài lòng,,0,5616012,5,1711272627,Nguyen Van Hung,1711242754
,Cực kì hài lòng,Đã nhận được máy...đúng sê ri...mua về mới kích hoạt bảo hành...chất lượng hình ảnh tốt...thời lượng pin chấp nhận được...từ 6h đến 22h mới sạc,0,11200602,5,1711161649,Lương Ngọc Trúc,1710862794
